Iteración;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;T1_Win;T2_Win;Set_Status;Game_Sequence;Calculated_Probability
149;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;;;;;6.0;3.0;Ganado;1,0,0,1,1,0,1,1;0.00%
150;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;;;;;6.0;3.0;Ganado;1,0,0,1,1,1,0,1;0.00%
151;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;;;;;3.0;6.0;Perdido;1,0,1,0,0,0,0,0;0.00%
152;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;;;;;6.0;3.0;Ganado;1,0,1,0,0,1,1,1;0.00%
153;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;;;;;6.0;3.0;Ganado;1,0,1,0,1,0,1,1;0.00%
154;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;;;;;6.0;3.0;Ganado;1,0,1,0,1,1,0,1;0.00%
155;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;;;;;6.0;3.0;Ganado;1,0,1,1,0,0,1,1;0.00%
156;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;;;;;6.0;3.0;Ganado;1,0,1,1,0,1,0,1;0.00%
157;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;;;;;6.0;3.0;Ganado;1,0,1,1,1,0,0,1;0.00%
158;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;3.0;6.0;Perdido;1,1,0,0,0,0,0,0;0.00%
159;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;;;;;6.0;3.0;Ganado;1,1,0,0,0,1,1,1;0.00%
160;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;;;;;6.0;3.0;Ganado;1,1,0,0,1,0,1,1;0.00%
161;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;;;;;6.0;3.0;Ganado;1,1,0,0,1,1,0,1;0.00%
162;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;;;;;6.0;3.0;Ganado;1,1,0,1,0,0,1,1;0.00%
163;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;;;;;6.0;3.0;Ganado;1,1,0,1,0,1,0,1;0.00%
164;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;;;;;6.0;3.0;Ganado;1,1,0,1,1,0,0,1;0.00%
165;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;;;;;6.0;3.0;Ganado;1,1,1,0,0,0,1,1;0.00%
166;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;;;;;6.0;3.0;Ganado;1,1,1,0,0,1,0,1;0.00%
167;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;;;;;6.0;3.0;Ganado;1,1,1,0,1,0,0,1;0.00%
168;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;;;;;6.0;3.0;Ganado;1,1,1,1,0,0,0,1;0.00%
169;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;;;;4.0;6.0;Perdido;0,0,0,0,1,1,1,1,0;0.0%
170;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;;;;4.0;6.0;Perdido;0,0,0,1,0,1,1,1,0;0.0%
171;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;;;;4.0;6.0;Perdido;0,0,0,1,1,0,1,1,0;0.0%
172;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;;;;4.0;6.0;Perdido;0,0,0,1,1,1,0,1,0;0.0%
173;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;;;;4.0;6.0;Perdido;0,0,0,1,1,1,1,0,0;0.0%
174;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;6.0;4.0;Ganado;0,0,0,1,1,1,1,1,1;0.05834%
175;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;;;;4.0;6.0;Perdido;0,0,1,0,0,1,1,1,0;0.0%
176;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;;;;4.0;6.0;Perdido;0,0,1,0,1,0,1,1,0;0.0%
177;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;;;;4.0;6.0;Perdido;0,0,1,0,1,1,0,1,0;0.0%
178;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;;;;4.0;6.0;Perdido;0,0,1,0,1,1,1,0,0;0.0%
179;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;;;;6.0;4.0;Ganado;0,0,1,0,1,1,1,1,1;0.31765%
