Iteración;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;T1_Win;T2_Win;Set_Status;Game_Sequence;Calculated_Probability
353;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;;;;4.0;6.0;Perdido;0,1,1,0,0,1,0,0,0;0.0%
354;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;;;;6.0;4.0;Ganado;0,1,1,0,0,1,0,1,1;0.025%
355;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;;;;6.0;4.0;Ganado;0,1,1,0,0,1,1,0,1;0.13614%
356;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;;;;4.0;6.0;Perdido;0,1,1,0,1,0,0,0,0;0.0%
357;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;;;;6.0;4.0;Ganado;0,1,1,0,1,0,0,1,1;0.13614%
358;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;;;;6.0;4.0;Ganado;0,1,1,0,1,0,1,0,1;0.74119%
359;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;;;;6.0;4.0;Ganado;0,1,1,0,1,1,0,0,1;0.13614%
360;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;;;;4.0;6.0;Perdido;0,1,1,1,0,0,0,0,0;0.0%
361;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;;;;6.0;4.0;Ganado;0,1,1,1,0,0,0,1,1;0.025%
362;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;;;;6.0;4.0;Ganado;0,1,1,1,0,0,1,0,1;0.13614%
363;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;;;;6.0;4.0;Ganado;0,1,1,1,0,1,0,0,1;0.025%
364;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;;;;6.0;4.0;Ganado;0,1,1,1,1,0,0,0,1;0.13614%
365;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;4.0;6.0;Perdido;1,0,0,0,0,0,1,1,0;0.0%
366;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;4.0;6.0;Perdido;1,0,0,0,0,1,0,1,0;0.0%
367;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;;;;4.0;6.0;Perdido;1,0,0,0,0,1,1,0,0;0.0%
368;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;;;;6.0;4.0;Ganado;1,0,0,0,0,1,1,1,1;0.13614%
369;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;;;;4.0;6.0;Perdido;1,0,0,0,1,0,0,1,0;0.0%
370;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;;;;4.0;6.0;Perdido;1,0,0,0,1,0,1,0,0;0.0%
371;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;;;;6.0;4.0;Ganado;1,0,0,0,1,0,1,1,1;0.74119%
372;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;;;;4.0;6.0;Perdido;1,0,0,0,1,1,0,0,0;0.0%
373;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;;;;6.0;4.0;Ganado;1,0,0,0,1,1,0,1,1;0.13614%
374;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;;;;6.0;4.0;Ganado;1,0,0,0,1,1,1,0,1;0.74119%
375;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;;;;4.0;6.0;Perdido;1,0,0,1,0,0,0,1,0;0.0%
376;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;;;;4.0;6.0;Perdido;1,0,0,1,0,0,1,0,0;0.0%
377;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;;;;6.0;4.0;Ganado;1,0,0,1,0,0,1,1,1;0.13614%
378;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;;;;4.0;6.0;Perdido;1,0,0,1,0,1,0,0,0;0.0%
379;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;;;;6.0;4.0;Ganado;1,0,0,1,0,1,0,1,1;0.025%
380;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;;;;6.0;4.0;Ganado;1,0,0,1,0,1,1,0,1;0.13614%
381;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;;;;4.0;6.0;Perdido;1,0,0,1,1,0,0,0,0;0.0%
382;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;;;;6.0;4.0;Ganado;1,0,0,1,1,0,0,1,1;0.13614%
383;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;;;;6.0;4.0;Ganado;1,0,0,1,1,0,1,0,1;0.74119%
384;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;;;;6.0;4.0;Ganado;1,0,0,1,1,1,0,0,1;0.13614%
