Iteración;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;T1_Win;T2_Win;Set_Status;Game_Sequence
197;0;0;1;0;1;0;1.0;1.0;0.0;0.0;;;;4;6;Perdido;1,0,1,1,0,0
198;0;0;1;0;1;0;1.0;1.0;1.0;1.0;;;;6;4;Ganado;1,0,1,1,1,1
199;0;0;1;0;1;1;0.0;0.0;1.0;0.0;;;;4;6;Perdido;1,1,0,0,1,0
200;0;0;1;0;1;1;0.0;1.0;0.0;0.0;;;;4;6;Perdido;1,1,0,1,0,0
201;0;0;1;0;1;1;0.0;1.0;1.0;1.0;;;;6;4;Ganado;1,1,0,1,1,1
202;0;0;1;0;1;1;1.0;0.0;0.0;0.0;;;;4;6;Perdido;1,1,1,0,0,0
203;0;0;1;0;1;1;1.0;0.0;1.0;1.0;;;;6;4;Ganado;1,1,1,0,1,1
204;0;0;1;0;1;1;1.0;1.0;0.0;1.0;;;;6;4;Ganado;1,1,1,1,0,1
205;0;0;1;1;0;0;0.0;1.0;1.0;0.0;;;;4;6;Perdido;0,0,0,1,1,0
206;0;0;1;1;0;0;1.0;0.0;1.0;0.0;;;;4;6;Perdido;0,0,1,0,1,0
207;0;0;1;1;0;0;1.0;1.0;0.0;0.0;;;;4;6;Perdido;0,0,1,1,0,0
208;0;0;1;1;0;0;1.0;1.0;1.0;1.0;;;;6;4;Ganado;0,0,1,1,1,1
209;0;0;1;1;0;1;0.0;0.0;1.0;0.0;;;;4;6;Perdido;0,1,0,0,1,0
210;0;0;1;1;0;1;0.0;1.0;0.0;0.0;;;;4;6;Perdido;0,1,0,1,0,0
211;0;0;1;1;0;1;0.0;1.0;1.0;1.0;;;;6;4;Ganado;0,1,0,1,1,1
212;0;0;1;1;0;1;1.0;0.0;0.0;0.0;;;;4;6;Perdido;0,1,1,0,0,0
213;0;0;1;1;0;1;1.0;0.0;1.0;1.0;;;;6;4;Ganado;0,1,1,0,1,1
214;0;0;1;1;0;1;1.0;1.0;0.0;1.0;;;;6;4;Ganado;0,1,1,1,0,1
215;0;0;1;1;1;0;0.0;0.0;1.0;0.0;;;;4;6;Perdido;1,0,0,0,1,0
216;0;0;1;1;1;0;0.0;1.0;0.0;0.0;;;;4;6;Perdido;1,0,0,1,0,0
217;0;0;1;1;1;0;0.0;1.0;1.0;1.0;;;;6;4;Ganado;1,0,0,1,1,1
218;0;0;1;1;1;0;1.0;0.0;0.0;0.0;;;;4;6;Perdido;1,0,1,0,0,0
219;0;0;1;1;1;0;1.0;0.0;1.0;1.0;;;;6;4;Ganado;1,0,1,0,1,1
220;0;0;1;1;1;0;1.0;1.0;0.0;1.0;;;;6;4;Ganado;1,0,1,1,0,1
221;0;0;1;1;1;1;0.0;0.0;0.0;0.0;;;;4;6;Perdido;1,1,0,0,0,0
222;0;0;1;1;1;1;0.0;0.0;1.0;1.0;;;;6;4;Ganado;1,1,0,0,1,1
223;0;0;1;1;1;1;0.0;1.0;0.0;1.0;;;;6;4;Ganado;1,1,0,1,0,1
224;0;0;1;1;1;1;1.0;0.0;0.0;1.0;;;;6;4;Ganado;1,1,1,0,0,1
225;0;1;0;0;0;0;1.0;1.0;1.0;0.0;;;;4;6;Perdido;0,0,1,1,1,0
226;0;1;0;0;0;1;0.0;1.0;1.0;0.0;;;;4;6;Perdido;0,1,0,1,1,0
227;0;1;0;0;0;1;1.0;0.0;1.0;0.0;;;;4;6;Perdido;0,1,1,0,1,0
228;0;1;0;0;0;1;1.0;1.0;0.0;0.0;;;;4;6;Perdido;0,1,1,1,0,0
229;0;1;0;0;0;1;1.0;1.0;1.0;1.0;;;;6;4;Ganado;0,1,1,1,1,1
230;0;1;0;0;1;0;0.0;1.0;1.0;0.0;;;;4;6;Perdido;1,0,0,1,1,0
231;0;1;0;0;1;0;1.0;0.0;1.0;0.0;;;;4;6;Perdido;1,0,1,0,1,0
232;0;1;0;0;1;0;1.0;1.0;0.0;0.0;;;;4;6;Perdido;1,0,1,1,0,0
233;0;1;0;0;1;0;1.0;1.0;1.0;1.0;;;;6;4;Ganado;1,0,1,1,1,1
234;0;1;0;0;1;1;0.0;0.0;1.0;0.0;;;;4;6;Perdido;1,1,0,0,1,0
235;0;1;0;0;1;1;0.0;1.0;0.0;0.0;;;;4;6;Perdido;1,1,0,1,0,0
236;0;1;0;0;1;1;0.0;1.0;1.0;1.0;;;;6;4;Ganado;1,1,0,1,1,1
237;0;1;0;0;1;1;1.0;0.0;0.0;0.0;;;;4;6;Perdido;1,1,1,0,0,0
238;0;1;0;0;1;1;1.0;0.0;1.0;1.0;;;;6;4;Ganado;1,1,1,0,1,1
239;0;1;0;0;1;1;1.0;1.0;0.0;1.0;;;;6;4;Ganado;1,1,1,1,0,1
240;0;1;0;1;0;0;0.0;1.0;1.0;0.0;;;;4;6;Perdido;0,0,0,1,1,0
241;0;1;0;1;0;0;1.0;0.0;1.0;0.0;;;;4;6;Perdido;0,0,1,0,1,0
242;0;1;0;1;0;0;1.0;1.0;0.0;0.0;;;;4;6;Perdido;0,0,1,1,0,0
243;0;1;0;1;0;0;1.0;1.0;1.0;1.0;;;;6;4;Ganado;0,0,1,1,1,1
244;0;1;0;1;0;1;0.0;0.0;1.0;0.0;;;;4;6;Perdido;0,1,0,0,1,0
245;0;1;0;1;0;1;0.0;1.0;0.0;0.0;;;;4;6;Perdido;0,1,0,1,0,0
246;0;1;0;1;0;1;0.0;1.0;1.0;1.0;;;;6;4;Ganado;0,1,0,1,1,1
247;0;1;0;1;0;1;1.0;0.0;0.0;0.0;;;;4;6;Perdido;0,1,1,0,0,0
248;0;1;0;1;0;1;1.0;0.0;1.0;1.0;;;;6;4;Ganado;0,1,1,0,1,1
249;0;1;0;1;0;1;1.0;1.0;0.0;1.0;;;;6;4;Ganado;0,1,1,1,0,1
250;0;1;0;1;1;0;0.0;0.0;1.0;0.0;;;;4;6;Perdido;1,0,0,0,1,0
251;0;1;0;1;1;0;0.0;1.0;0.0;0.0;;;;4;6;Perdido;1,0,0,1,0,0
252;0;1;0;1;1;0;0.0;1.0;1.0;1.0;;;;6;4;Ganado;1,0,0,1,1,1
253;0;1;0;1;1;0;1.0;0.0;0.0;0.0;;;;4;6;Perdido;1,0,1,0,0,0
254;0;1;0;1;1;0;1.0;0.0;1.0;1.0;;;;6;4;Ganado;1,0,1,0,1,1
255;0;1;0;1;1;0;1.0;1.0;0.0;1.0;;;;6;4;Ganado;1,0,1,1,0,1
256;0;1;0;1;1;1;0.0;0.0;0.0;0.0;;;;4;6;Perdido;1,1,0,0,0,0
257;0;1;0;1;1;1;0.0;0.0;1.0;1.0;;;;6;4;Ganado;1,1,0,0,1,1
258;0;1;0;1;1;1;0.0;1.0;0.0;1.0;;;;6;4;Ganado;1,1,0,1,0,1
259;0;1;0;1;1;1;1.0;0.0;0.0;1.0;;;;6;4;Ganado;1,1,1,0,0,1
260;0;1;1;0;0;0;0.0;1.0;1.0;0.0;;;;4;6;Perdido;0,0,0,1,1,0
261;0;1;1;0;0;0;1.0;0.0;1.0;0.0;;;;4;6;Perdido;0,0,1,0,1,0
262;0;1;1;0;0;0;1.0;1.0;0.0;0.0;;;;4;6;Perdido;0,0,1,1,0,0
263;0;1;1;0;0;0;1.0;1.0;1.0;1.0;;;;6;4;Ganado;0,0,1,1,1,1
264;0;1;1;0;0;1;0.0;0.0;1.0;0.0;;;;4;6;Perdido;0,1,0,0,1,0
265;0;1;1;0;0;1;0.0;1.0;0.0;0.0;;;;4;6;Perdido;0,1,0,1,0,0
266;0;1;1;0;0;1;0.0;1.0;1.0;1.0;;;;6;4;Ganado;0,1,0,1,1,1
267;0;1;1;0;0;1;1.0;0.0;0.0;0.0;;;;4;6;Perdido;0,1,1,0,0,0
268;0;1;1;0;0;1;1.0;0.0;1.0;1.0;;;;6;4;Ganado;0,1,1,0,1,1
269;0;1;1;0;0;1;1.0;1.0;0.0;1.0;;;;6;4;Ganado;0,1,1,1,0,1
270;0;1;1;0;1;0;0.0;0.0;1.0;0.0;;;;4;6;Perdido;1,0,0,0,1,0
271;0;1;1;0;1;0;0.0;1.0;0.0;0.0;;;;4;6;Perdido;1,0,0,1,0,0
272;0;1;1;0;1;0;0.0;1.0;1.0;1.0;;;;6;4;Ganado;1,0,0,1,1,1
273;0;1;1;0;1;0;1.0;0.0;0.0;0.0;;;;4;6;Perdido;1,0,1,0,0,0
274;0;1;1;0;1;0;1.0;0.0;1.0;1.0;;;;6;4;Ganado;1,0,1,0,1,1
