Iteración;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;T1_Win;T2_Win;Set_Status
308;1;0;0;0;1;1;1;0;1;1;;;;6;4;Ganado
309;1;0;0;0;1;1;1;1;0;1;;;;6;4;Ganado
310;1;0;0;1;0;0;0;1;1;0;;;;4;6;Perdido
311;1;0;0;1;0;0;1;0;1;0;;;;4;6;Perdido
312;1;0;0;1;0;0;1;1;0;0;;;;4;6;Perdido
313;1;0;0;1;0;0;1;1;1;1;;;;6;4;Ganado
314;1;0;0;1;0;1;0;0;1;0;;;;4;6;Perdido
315;1;0;0;1;0;1;0;1;0;0;;;;4;6;Perdido
316;1;0;0;1;0;1;0;1;1;1;;;;6;4;Ganado
317;1;0;0;1;0;1;1;0;0;0;;;;4;6;Perdido
318;1;0;0;1;0;1;1;0;1;1;;;;6;4;Ganado
319;1;0;0;1;0;1;1;1;0;1;;;;6;4;Ganado
320;1;0;0;1;1;0;0;0;1;0;;;;4;6;Perdido
321;1;0;0;1;1;0;0;1;0;0;;;;4;6;Perdido
322;1;0;0;1;1;0;0;1;1;1;;;;6;4;Ganado
323;1;0;0;1;1;0;1;0;0;0;;;;4;6;Perdido
324;1;0;0;1;1;0;1;0;1;1;;;;6;4;Ganado
325;1;0;0;1;1;0;1;1;0;1;;;;6;4;Ganado
326;1;0;0;1;1;1;0;0;0;0;;;;4;6;Perdido
327;1;0;0;1;1;1;0;0;1;1;;;;6;4;Ganado
328;1;0;0;1;1;1;0;1;0;1;;;;6;4;Ganado
329;1;0;0;1;1;1;1;0;0;1;;;;6;4;Ganado
330;1;0;1;0;0;0;0;1;1;0;;;;4;6;Perdido
331;1;0;1;0;0;0;1;0;1;0;;;;4;6;Perdido
332;1;0;1;0;0;0;1;1;0;0;;;;4;6;Perdido
333;1;0;1;0;0;0;1;1;1;1;;;;6;4;Ganado
334;1;0;1;0;0;1;0;0;1;0;;;;4;6;Perdido
335;1;0;1;0;0;1;0;1;0;0;;;;4;6;Perdido
336;1;0;1;0;0;1;0;1;1;1;;;;6;4;Ganado
337;1;0;1;0;0;1;1;0;0;0;;;;4;6;Perdido
338;1;0;1;0;0;1;1;0;1;1;;;;6;4;Ganado
339;1;0;1;0;0;1;1;1;0;1;;;;6;4;Ganado
340;1;0;1;0;1;0;0;0;1;0;;;;4;6;Perdido
341;1;0;1;0;1;0;0;1;0;0;;;;4;6;Perdido
342;1;0;1;0;1;0;0;1;1;1;;;;6;4;Ganado
343;1;0;1;0;1;0;1;0;0;0;;;;4;6;Perdido
344;1;0;1;0;1;0;1;0;1;1;;;;6;4;Ganado
345;1;0;1;0;1;0;1;1;0;1;;;;6;4;Ganado
346;1;0;1;0;1;1;0;0;0;0;;;;4;6;Perdido
347;1;0;1;0;1;1;0;0;1;1;;;;6;4;Ganado
348;1;0;1;0;1;1;0;1;0;1;;;;6;4;Ganado
349;1;0;1;0;1;1;1;0;0;1;;;;6;4;Ganado
350;1;0;1;1;0;0;0;0;1;0;;;;4;6;Perdido
351;1;0;1;1;0;0;0;1;0;0;;;;4;6;Perdido
352;1;0;1;1;0;0;0;1;1;1;;;;6;4;Ganado
353;1;0;1;1;0;0;1;0;0;0;;;;4;6;Perdido
354;1;0;1;1;0;0;1;0;1;1;;;;6;4;Ganado
355;1;0;1;1;0;0;1;1;0;1;;;;6;4;Ganado
356;1;0;1;1;0;1;0;0;0;0;;;;4;6;Perdido
357;1;0;1;1;0;1;0;0;1;1;;;;6;4;Ganado
358;1;0;1;1;0;1;0;1;0;1;;;;6;4;Ganado
359;1;0;1;1;0;1;1;0;0;1;;;;6;4;Ganado
360;1;0;1;1;1;0;0;0;0;0;;;;4;6;Perdido
361;1;0;1;1;1;0;0;0;1;1;;;;6;4;Ganado
362;1;0;1;1;1;0;0;1;0;1;;;;6;4;Ganado
363;1;0;1;1;1;0;1;0;0;1;;;;6;4;Ganado
364;1;0;1;1;1;1;0;0;0;1;;;;6;4;Ganado
365;1;1;0;0;0;0;0;1;1;0;;;;4;6;Perdido
366;1;1;0;0;0;0;1;0;1;0;;;;4;6;Perdido
367;1;1;0;0;0;0;1;1;0;0;;;;4;6;Perdido
368;1;1;0;0;0;0;1;1;1;1;;;;6;4;Ganado
369;1;1;0;0;0;1;0;0;1;0;;;;4;6;Perdido
370;1;1;0;0;0;1;0;1;0;0;;;;4;6;Perdido
371;1;1;0;0;0;1;0;1;1;1;;;;6;4;Ganado
372;1;1;0;0;0;1;1;0;0;0;;;;4;6;Perdido
373;1;1;0;0;0;1;1;0;1;1;;;;6;4;Ganado
374;1;1;0;0;0;1;1;1;0;1;;;;6;4;Ganado
375;1;1;0;0;1;0;0;0;1;0;;;;4;6;Perdido
376;1;1;0;0;1;0;0;1;0;0;;;;4;6;Perdido
377;1;1;0;0;1;0;0;1;1;1;;;;6;4;Ganado
378;1;1;0;0;1;0;1;0;0;0;;;;4;6;Perdido
379;1;1;0;0;1;0;1;0;1;1;;;;6;4;Ganado
380;1;1;0;0;1;0;1;1;0;1;;;;6;4;Ganado
381;1;1;0;0;1;1;0;0;0;0;;;;4;6;Perdido
382;1;1;0;0;1;1;0;0;1;1;;;;6;4;Ganado
383;1;1;0;0;1;1;0;1;0;1;;;;6;4;Ganado
384;1;1;0;0;1;1;1;0;0;1;;;;6;4;Ganado
385;1;1;0;1;0;0;0;0;1;0;;;;4;6;Perdido
386;1;1;0;1;0;0;0;1;0;0;;;;4;6;Perdido
387;1;1;0;1;0;0;0;1;1;1;;;;6;4;Ganado
388;1;1;0;1;0;0;1;0;0;0;;;;4;6;Perdido
389;1;1;0;1;0;0;1;0;1;1;;;;6;4;Ganado
390;1;1;0;1;0;0;1;1;0;1;;;;6;4;Ganado
391;1;1;0;1;0;1;0;0;0;0;;;;4;6;Perdido
392;1;1;0;1;0;1;0;0;1;1;;;;6;4;Ganado
393;1;1;0;1;0;1;0;1;0;1;;;;6;4;Ganado
394;1;1;0;1;0;1;1;0;0;1;;;;6;4;Ganado
395;1;1;0;1;1;0;0;0;0;0;;;;4;6;Perdido
396;1;1;0;1;1;0;0;0;1;1;;;;6;4;Ganado
397;1;1;0;1;1;0;0;1;0;1;;;;6;4;Ganado
398;1;1;0;1;1;0;1;0;0;1;;;;6;4;Ganado
399;1;1;0;1;1;1;0;0;0;1;;;;6;4;Ganado
400;1;1;1;0;0;0;0;0;1;0;;;;4;6;Perdido
401;1;1;1;0;0;0;0;1;0;0;;;;4;6;Perdido
402;1;1;1;0;0;0;0;1;1;1;;;;6;4;Ganado
403;1;1;1;0;0;0;1;0;0;0;;;;4;6;Perdido
404;1;1;1;0;0;0;1;0;1;1;;;;6;4;Ganado
405;1;1;1;0;0;0;1;1;0;1;;;;6;4;Ganado
406;1;1;1;0;0;1;0;0;0;0;;;;4;6;Perdido
407;1;1;1;0;0;1;0;0;1;1;;;;6;4;Ganado
408;1;1;1;0;0;1;0;1;0;1;;;;6;4;Ganado
409;1;1;1;0;0;1;1;0;0;1;;;;6;4;Ganado
